UavEast	UavNorth
[meter]	[meter]
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747438	3637626
747442	3637619
747442	3637619
747442	3637619
747442	3637619
747442	3637619
747445	3637613
747445	3637613
747445	3637613
747445	3637613
747445	3637613
747450	3637606
747450	3637606
747450	3637606
747450	3637606
747450	3637606
747450	3637606
747478	3637566
747497	3637540
747497	3637540
747497	3637540
747497	3637540
747502	3637535
747502	3637535
747502	3637535
747502	3637535
747502	3637535
747502	3637535
747502	3637535
747507	3637529
747507	3637529
747507	3637529
747507	3637529
747507	3637529
747507	3637529
747507	3637529
747507	3637529
747513	3637522
747513	3637522
747513	3637522
747513	3637522
747513	3637522
747518	3637516
747518	3637516
747518	3637516
747518	3637516
747518	3637516
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747523	3637510
747528	3637504
747528	3637504
747528	3637504
747528	3637504
747528	3637504
747528	3637504
747528	3637504
747528	3637504
747534	3637499
747534	3637499
747534	3637499
747534	3637499
747534	3637499
747539	3637494
747539	3637494
747539	3637494
747539	3637494
747539	3637494
747545	3637487
747545	3637487
747545	3637487
747545	3637487
747545	3637487
747545	3637487
747545	3637487
747550	3637481
747550	3637481
747550	3637481
747550	3637481
747550	3637481
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747557	3637474
747563	3637468
747563	3637468
747563	3637468
747563	3637468
747563	3637468
747569	3637462
747569	3637462
747569	3637462
747569	3637462
747569	3637462
747576	3637456
747576	3637456
747576	3637456
747576	3637456
747576	3637456
747576	3637456
747576	3637456
747581	3637451
747581	3637451
747581	3637451
747581	3637451
747581	3637451
747581	3637451
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747588	3637445
747595	3637438
747595	3637438
747595	3637438
747595	3637438
747595	3637438
747595	3637438
747595	3637438
747601	3637433
747601	3637433
747601	3637433
747601	3637433
747601	3637433
747608	3637428
747608	3637428
747608	3637428
747608	3637428
747608	3637428
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747614	3637422
747621	3637416
747621	3637416
747621	3637416
747621	3637416
747621	3637416
747621	3637416
747621	3637416
747621	3637416
747627	3637412
747627	3637412
747627	3637412
747627	3637412
747627	3637412
747634	3637407
747634	3637407
747634	3637407
747634	3637407
747634	3637407
747639	3637401
747639	3637401
747639	3637401
747639	3637401
747639	3637401
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747648	3637396
747654	3637392
747654	3637392
747654	3637392
747654	3637392
747654	3637392
747660	3637386
747660	3637386
747660	3637386
747660	3637386
747660	3637386
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747666	3637383
747674	3637377
747674	3637377
747674	3637377
747674	3637377
747674	3637377
747681	3637372
747681	3637372
747681	3637372
747681	3637372
747681	3637372
747681	3637372
747707	3637355
747707	3637355
747707	3637355
747707	3637355
747707	3637355
747707	3637355
747715	3637351
747715	3637351
747715	3637351
747722	3637346
747722	3637346
747722	3637346
747722	3637346
747722	3637346
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747730	3637341
747737	3637338
747737	3637338
747737	3637338
747737	3637338
747737	3637338
747745	3637332
747745	3637332
747745	3637332
747745	3637332
747745	3637332
747745	3637332
747745	3637332
747745	3637332
747752	3637329
747752	3637329
747752	3637329
747752	3637329
747759	3637326
747759	3637326
747759	3637326
747759	3637326
747759	3637326
747759	3637326
747766	3637322
747766	3637322
747766	3637322
747766	3637322
747766	3637322
747766	3637322
747766	3637322
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747775	3637318
747782	3637313
747782	3637313
747782	3637313
747782	3637313
747782	3637313
747790	3637309
747790	3637309
747790	3637309
747790	3637309
747790	3637309
747790	3637309
747790	3637309
747790	3637309
747798	3637306
747798	3637306
747798	3637306
747798	3637306
747798	3637306
747806	3637303
747806	3637303
747806	3637303
747806	3637303
747806	3637303
747806	3637303
747806	3637303
747814	3637299
747814	3637299
747814	3637299
747821	3637296
747821	3637296
747821	3637296
747821	3637296
747821	3637296
747821	3637296
747821	3637296
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747828	3637293
747837	3637289
747837	3637289
747837	3637289
747837	3637289
747837	3637289
747846	3637286
747846	3637286
747846	3637286
747846	3637286
747846	3637286
747846	3637286
747846	3637286
747846	3637286
747854	3637284
747854	3637284
747854	3637284
747854	3637284
747854	3637284
747861	3637280
747861	3637280
747861	3637280
747861	3637280
747861	3637280
747870	3637277
747870	3637277
747870	3637277
747870	3637277
747870	3637277
747870	3637277
747870	3637277
747870	3637277
747878	3637275
747878	3637275
747878	3637275
747878	3637275
747878	3637275
747885	3637272
747885	3637272
747885	3637272
747885	3637272
747885	3637272
747885	3637272
747885	3637272
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747903	3637267
747903	3637267
747903	3637267
747903	3637267
747903	3637267
747910	3637265
747910	3637265
747910	3637265
747910	3637265
747910	3637265
747918	3637263
747918	3637263
747918	3637263
747918	3637263
747918	3637263
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747945	3637256
747945	3637256
747945	3637256
747945	3637256
747945	3637256
747953	3637254
747953	3637254
747953	3637254
747953	3637254
747953	3637254
747961	3637252
